NORAD Number,COSPAR Number,Official Name,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Expected Lifetime (yrs.),Launch Site,Launch Vehicle
44859,2019-089H,1HOPSAT-TD,USA,Hera Systems,Commercial,Earth Observation,LEO,0,566,576,36.9,96.08,22,,0.5,Satish Dhawan Space Centre,PSLV
42775,2017-036L,Aalto-1,Finland,Aalto University,Civil,Technology Development,LEO,0,497,517,97.45,94.7,5,,2,Satish Dhawan Space Centre,PSLV
41460,2016-025E,AAt-4,Denmark,University of Aalborg,Civil,Earth Observation,LEO,0,442,687,98.2,95.9,1,,,Guiana Space Center,Soyuz-2.1a
39508,2014-006A,ABS-2,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,75,35778,35793,0.08,1436.03,6330,,15,Guiana Space Center,Ariane 5 ECA
41588,2016-038A,ABS-2A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,-75,35700,35700,0,1436.1,1800,,15,Cape Canaveral,Falcon 9
40424,2015-010A,ABS-3A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,-3,35788,35803,0.1,1436,2000,,15,Cape Canaveral,Falcon 9
28184,2004-007A,ABS-4,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,75,35780,35793,0.01,1436.1,4143,1700,12,Cape Canaveral,Atlas 3
25924,1999-053A,ABS-6,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,159,35777,35794,0.01,1436.08,2894,1730,15,Baikonur Cosmodrome,Proton
47937,2021-022F,Adelis-Sampson 1,USA,Asher Space Research Institute at Technion/USAi Aircraft IndUSAtries,Government,Technology Development,LEO,0,538,561,97.5,95.5,9,,,Baikonur Cosmodrome,Soyuz-2.1a
47939,2021-022H,Adelis-Sampson 2,USA,Asher Space Research Institute at Technion/USAi Aircraft IndUSAtries,Government,Technology Development,LEO,0,539,599,97.5,95.5,9,,,Baikonur Cosmodrome,Soyuz-2.1a
47943,2021-022M,Adelis-Sampson 3,USA,Asher Space Research Institute at Technion/USAi Aircraft IndUSAtries,Government,Technology Development,LEO,0,537,561,97.5,95.5,9,,,Baikonur Cosmodrome,Soyuz-2.1a
47237,2020-095A,USA 311,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,0,35700,35800,0,1437.6,5400,,,Cape Canaveral,Delta 4 Heavy
25336,1998-029A,USA 139,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,-26,35560,36013,7.72,1436.14,5200,,,Cape Canaveral,Titan IVA
27937,2003-041A,USA 171,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,68,35589,35984,3.2,1436.1,5200,,,Cape Canaveral,Titan IV
33490,2009-001A,USA 202,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,44,35714,35937,2.89,1438.8,5400,,,Cape Canaveral,Delta 4 Heavy
37232,2010-063A,USA 223,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,95,35500,35500,0,1436,5000,,,Cape Canaveral,Delta 4 Heavy
38528,2012-034A,USA 237,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,60,35771,35805,0,1436.1,5000,,,Cape Canaveral,Delta 4 Heavy
41584,2016-036A,USA 268,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,102.6,35613,35903,7.51,1437.19,5000,,,Cape Canaveral,Delta 4 Heavy
39256,2013-050A,USA 246,USA,USA Air Force,Military,Communications,GEO,152.1,35700,35803,4.2,1436.1,6169,,14,Cape Canaveral,Atlas 5
43651,2018-079A,USA 288,USA,USA Air Force,Military,Communications,GEO,150.2,35781,35790,0.05,1436.1,6169,,,Cape Canaveral,Atlas 5
44481,2019-051A,USA 292,USA,USA Air Force,Military,Communications,GEO,-94.39,35780,35810,6.4,1436.2,6169,,,Cape Canaveral,Atlas 5
45465,2020-022B,USA 298,USA,USA Air Force ,Military,Communications,GEO,0,35780,35780,0,1436,6169,,,Cape Canaveral,Atlas 5
38254,2012-019A,USA 235,USA,USA Air Force,Military,Communications,GEO,-120,35772,35801,2.34,1436.1,6169,,14,Cape Canaveral,Atlas 5
38760,2012-048C,Aeneas,USA,Department of Homeland Security,Government,Technology Development,LEO,0,480,790,0.02,97.4,3,,,Vandenberg AFB,Atlas 5
43600,2018-066A,AeolUSA,ESA,European Space Agency (ESA),Government,Earth Observation,LEO,0,314,317,96.7,92.4,1367,,3,Guiana Space Center,Vega
44485,2019-022D,Aerocube 10A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,469,481,51.6,94.15,2,,,CygnUSA,Nanorack Deployer
44484,2019-022C,Aerocube 10B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,471,483,51.6,94.15,2,,,CygnUSA,Nanorack Deployer
43861,2018-104N,Aerocube 11A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,495,511,85.03,94.6,4,,,Rocket Lab Launch Complex 1,Electron
43849,2018-104A,Aerocube 11B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,492,511,85.3,94.6,4,,,Rocket Lab Launch Complex 1,Electron
43556,2018-046C,Aerocube 12A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,481,487,51.6,94.2,4,,,CygnUSA,Nanorack Deployer
43557,2018-046D,Aerocube 12B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,481,487,51.6,94.2,4,,,CygnUSA,Nanorack Deployer
45114,2019-071D,Aerocube 14A,USA,Aerospace Corporation,Military,Technology Development,LEO,0,459,474,51.6,93.9,,,,CygnUSA,Nanorack Deployer
45116,2019-071F,Aerocube 14B,USA,Aerospace Corporation,Military,Technology Development,LEO,0,459,474,51.6,93.9,,,,CygnUSA,Nanorack Deployer
45117,2019-071G,Aerocube 15A,USA,Aerospace Corporation,Military,Technology Development,LEO,0,458,474,51.6,93.9,,,,CygnUSA,Nanorack Deployer
40965,2015-058B,Aerocube 5C,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,500,802,64.78,97.74,2,,,Vandenberg AFB,Atlas 5
40045,2014-033AM,Aerocube 6A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,614,700,97.98,97.88,5,,3,Dombarovsky Air Base,Dnepr
40046,2014-033AN,Aerocube 6B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,614,700,97.98,97.88,5,,3,Dombarovsky Air Base,Dnepr
40966,2015-058C,Aerocube 7A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,500,802,64.6,97.4,2,,,Vandenberg AFB,Atlas 5
41853,2016-067F,Aerocube 8C,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,569,584,97.9,96.2,5,,,Vandenberg AFB,Atlas 5
41852,2016-067E,Aerocube 8D,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,572,584,98,96.23,2,,,Vandenberg AFB,Atlas 5
33460,2008-065B,Eutelsat 48D,Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,48,35764,35808,0.12,1436.08,3460,1555,15,Guiana Space Center,Ariane 5
48270,2021-034C,AII-Bravo,Lithuania,Aurora Insight,Commercial,Communications,LEO,0,609,613,97.8,95.8,9,,,Guiana Space Center,Vega W18
47440,2021-006AD,AII-Charlie,Lithuania,Aurora Insight,Commercial,Communications,LEO,0,522,535,97.5,95.2,9,,,Cape Canaveral,Falcon 9
